,tweet_id,favorites,retweets,date_time
670,787810552592695296,8484,2984,2016-10-17 00:20:47+00:00
671,787717603741622272,10102,2714,2016-10-16 18:11:26+00:00
672,787397959788929025,10725,2789,2016-10-15 21:01:17+00:00
673,787322443945877504,7672,1701,2016-10-15 16:01:13+00:00
674,787111942498508800,0,6603,2016-10-15 02:04:45+00:00
675,786963064373534720,26210,7797,2016-10-14 16:13:10+00:00
676,786729988674449408,0,2380,2016-10-14 00:47:00+00:00
677,786709082849828864,17969,5992,2016-10-13 23:23:56+00:00
678,786664955043049472,10412,2478,2016-10-13 20:28:35+00:00
679,786595970293370880,9314,3063,2016-10-13 15:54:28+00:00
680,786363235746385920,10708,3395,2016-10-13 00:29:39+00:00
681,786286427768250368,7840,2768,2016-10-12 19:24:27+00:00
682,786233965241827333,14987,4598,2016-10-12 15:55:59+00:00
683,786051337297522688,1400,153,2016-10-12 03:50:17+00:00
684,786036967502913536,0,6823,2016-10-12 02:53:11+00:00
685,785927819176054784,11204,3117,2016-10-11 19:39:28+00:00
686,785872687017132033,6596,1759,2016-10-11 16:00:24+00:00
687,785639753186217984,7736,2190,2016-10-11 00:34:48+00:00
688,785533386513321988,8939,1944,2016-10-10 17:32:08+00:00
689,785515384317313025,6014,1228,2016-10-10 16:20:36+00:00
690,785264754247995392,7147,1589,2016-10-09 23:44:41+00:00
691,785170936622350336,11829,4715,2016-10-09 17:31:53+00:00
692,784826020293709826,9927,3162,2016-10-08 18:41:19+00:00
693,784517518371221505,8828,2467,2016-10-07 22:15:26+00:00
694,784431430411685888,5632,1239,2016-10-07 16:33:21+00:00
695,784183165795655680,19682,7830,2016-10-07 00:06:50+00:00
696,784057939640352768,29214,10822,2016-10-06 15:49:14+00:00
697,783839966405230592,29438,10518,2016-10-06 01:23:05+00:00
698,783821107061198850,7241,1913,2016-10-06 00:08:09+00:00
699,783695101801398276,10275,3130,2016-10-05 15:47:27+00:00
700,783466772167098368,8292,2176,2016-10-05 00:40:09+00:00
701,783391753726550016,16584,5326,2016-10-04 19:42:03+00:00
702,783347506784731136,0,5398,2016-10-04 16:46:14+00:00
703,783334639985389568,28568,11373,2016-10-04 15:55:06+00:00
704,783085703974514689,8019,2139,2016-10-03 23:25:55+00:00
705,782969140009107456,23699,7168,2016-10-03 15:42:44+00:00
706,782747134529531904,7337,1377,2016-10-03 01:00:34+00:00
707,782722598790725632,16945,5251,2016-10-02 23:23:04+00:00
708,782598640137187329,7663,1830,2016-10-02 15:10:30+00:00
709,782305867769217024,16336,5398,2016-10-01 19:47:08+00:00
710,782021823840026624,0,6033,2016-10-01 00:58:26+00:00
711,781955203444699136,10936,3280,2016-09-30 20:33:43+00:00
712,781661882474196992,10246,2644,2016-09-30 01:08:10+00:00
713,781655249211752448,3922,1105,2016-09-30 00:41:48+00:00
714,781524693396357120,20364,5408,2016-09-29 16:03:01+00:00
715,781308096455073793,7007,2491,2016-09-29 01:42:20+00:00
716,781251288990355457,8243,2018,2016-09-28 21:56:36+00:00
717,781163403222056960,9618,2687,2016-09-28 16:07:23+00:00
718,780931614150983680,21212,7075,2016-09-28 00:46:20+00:00
719,780858289093574656,7062,1958,2016-09-27 19:54:58+00:00
720,780800785462489090,5374,1261,2016-09-27 16:06:28+00:00
721,780601303617732608,11860,3271,2016-09-27 02:53:48+00:00
722,780543529827336192,6170,1699,2016-09-26 23:04:13+00:00
723,780496263422808064,0,3568,2016-09-26 19:56:24+00:00
724,780476555013349377,0,109,2016-09-26 18:38:05+00:00
725,780459368902959104,5189,1045,2016-09-26 17:29:48+00:00
726,780192070812196864,8526,2183,2016-09-25 23:47:39+00:00
727,780092040432480260,0,2233,2016-09-25 17:10:10+00:00
728,780074436359819264,11884,4810,2016-09-25 16:00:13+00:00
729,779834332596887552,18485,6823,2016-09-25 00:06:08+00:00
730,779377524342161408,8588,3018,2016-09-23 17:50:56+00:00
731,779124354206535695,0,17766,2016-09-23 01:04:56+00:00
732,779056095788752897,14445,4390,2016-09-22 20:33:42+00:00
733,778990705243029504,19527,6975,2016-09-22 16:13:51+00:00
734,778774459159379968,0,9594,2016-09-22 01:54:34+00:00
735,778764940568104960,845,353,2016-09-22 01:16:45+00:00
736,778748913645780993,6731,1266,2016-09-22 00:13:04+00:00
737,778650543019483137,5634,1453,2016-09-21 17:42:10+00:00
738,778624900596654080,4514,983,2016-09-21 16:00:17+00:00
739,778408200802557953,13339,4183,2016-09-21 01:39:11+00:00
740,778396591732486144,0,11857,2016-09-21 00:53:04+00:00
741,778383385161035776,5696,1066,2016-09-21 00:00:35+00:00
742,778286810187399168,10145,3204,2016-09-20 17:36:50+00:00
743,778039087836069888,8310,2566,2016-09-20 01:12:28+00:00
744,778027034220126208,6409,1559,2016-09-20 00:24:34+00:00
745,777953400541634568,0,3419,2016-09-19 19:31:59+00:00
746,777885040357281792,6225,1581,2016-09-19 15:00:20+00:00
747,777684233540206592,10985,2845,2016-09-19 01:42:24+00:00
748,777641927919427584,0,4101,2016-09-18 22:54:18+00:00
749,777621514455814149,8534,2440,2016-09-18 21:33:11+00:00
750,777189768882946048,13921,4190,2016-09-17 16:57:35+00:00
751,776819012571455488,0,13283,2016-09-16 16:24:19+00:00
752,776813020089548800,4777,1170,2016-09-16 16:00:31+00:00
753,776477788987613185,8608,2683,2016-09-15 17:48:25+00:00
754,776249906839351296,0,8840,2016-09-15 02:42:54+00:00
755,776218204058357768,29178,15361,2016-09-15 00:36:55+00:00
756,776201521193218049,9356,2445,2016-09-14 23:30:38+00:00
757,776113305656188928,11495,4218,2016-09-14 17:40:06+00:00
758,776088319444877312,1791,147,2016-09-14 16:00:49+00:00
759,775898661951791106,0,16262,2016-09-14 03:27:11+00:00
760,775842724423557120,11435,2578,2016-09-13 23:44:54+00:00
761,775733305207554048,13576,3876,2016-09-13 16:30:07+00:00
762,775729183532220416,12700,4470,2016-09-13 16:13:44+00:00
763,775364825476165632,7215,2862,2016-09-12 16:05:54+00:00
764,775350846108426240,9914,3794,2016-09-12 15:10:21+00:00
765,775085132600442880,15182,4571,2016-09-11 21:34:30+00:00
766,774757898236878852,8411,1733,2016-09-10 23:54:11+00:00
767,774639387460112384,6583,1678,2016-09-10 16:03:16+00:00
768,774314403806253056,21274,5347,2016-09-09 18:31:54+00:00
769,773985732834758656,10489,3739,2016-09-08 20:45:53+00:00
770,773922284943896577,6251,1695,2016-09-08 16:33:46+00:00
771,773704687002451968,6447,1569,2016-09-08 02:09:06+00:00
772,773670353721753600,5223,1273,2016-09-07 23:52:41+00:00
773,773547596996571136,21596,5955,2016-09-07 15:44:53+00:00
774,773336787167145985,0,4887,2016-09-07 01:47:12+00:00
775,773308824254029826,22755,7243,2016-09-06 23:56:05+00:00
776,773247561583001600,9240,3156,2016-09-06 19:52:39+00:00
777,773191612633579521,9768,4008,2016-09-06 16:10:20+00:00
778,772877495989305348,8345,3750,2016-09-05 19:22:09+00:00
779,772826264096874500,7845,2288,2016-09-05 15:58:34+00:00
780,772615324260794368,0,3279,2016-09-05 02:00:22+00:00
781,772581559778025472,6332,1654,2016-09-04 23:46:12+00:00
782,772193107915964416,5867,1340,2016-09-03 22:02:38+00:00
783,772152991789019136,3717,1102,2016-09-03 19:23:13+00:00
784,772117678702071809,3674,716,2016-09-03 17:02:54+00:00
785,772114945936949249,2669,457,2016-09-03 16:52:02+00:00
786,772102971039580160,3912,906,2016-09-03 16:04:27+00:00
787,771908950375665664,6399,1824,2016-09-03 03:13:29+00:00
788,771770456517009408,11702,3263,2016-09-02 18:03:10+00:00
789,771500966810099713,8073,2530,2016-09-02 00:12:18+00:00
790,771380798096281600,10247,4887,2016-09-01 16:14:48+00:00
791,771171053431250945,0,7199,2016-09-01 02:21:21+00:00
792,771136648247640064,8935,2835,2016-09-01 00:04:38+00:00
793,771102124360998913,6074,1393,2016-08-31 21:47:27+00:00
794,771014301343748096,6727,1604,2016-08-31 15:58:28+00:00
795,770787852854652928,4813,1164,2016-08-31 00:58:39+00:00
796,770772759874076672,5058,1376,2016-08-30 23:58:40+00:00
797,770655142660169732,7177,1729,2016-08-30 16:11:18+00:00
798,770414278348247044,6176,2028,2016-08-30 00:14:12+00:00
799,770293558247038976,6061,1419,2016-08-29 16:14:30+00:00
800,770093767776997377,0,2946,2016-08-29 03:00:36+00:00
801,770069151037685760,7403,2224,2016-08-29 01:22:47+00:00
802,769940425801170949,30471,9226,2016-08-28 16:51:16+00:00
803,769695466921623552,6265,1632,2016-08-28 00:37:54+00:00
804,769335591808995329,0,7488,2016-08-27 00:47:53+00:00
805,769212283578875904,5253,1660,2016-08-26 16:37:54+00:00
806,768970937022709760,13935,6281,2016-08-26 00:38:52+00:00
807,768909767477751808,0,2590,2016-08-25 20:35:48+00:00
808,768855141948723200,4081,860,2016-08-25 16:58:45+00:00
809,768609597686943744,3999,1157,2016-08-25 00:43:02+00:00
810,768596291618299904,4909,1238,2016-08-24 23:50:10+00:00
811,768554158521745409,0,5642,2016-08-24 21:02:45+00:00
812,768473857036525572,13261,3300,2016-08-24 15:43:39+00:00
813,768193404517830656,10604,3419,2016-08-23 21:09:14+00:00
814,767884188863397888,4636,1329,2016-08-23 00:40:31+00:00
815,767754930266464257,15581,5194,2016-08-22 16:06:54+00:00
816,767500508068192258,7315,2267,2016-08-21 23:15:55+00:00
817,767191397493538821,11969,3631,2016-08-21 02:47:37+00:00
818,767122157629476866,9922,2764,2016-08-20 22:12:29+00:00
819,766864461642756096,0,5422,2016-08-20 05:08:29+00:00
820,766793450729734144,4912,1317,2016-08-20 00:26:19+00:00
821,766714921925144576,2539,362,2016-08-19 19:14:16+00:00
822,766693177336135680,3908,771,2016-08-19 17:47:52+00:00
823,766423258543644672,5853,1528,2016-08-18 23:55:18+00:00
824,766313316352462849,6612,1819,2016-08-18 16:38:26+00:00
825,766078092750233600,0,2537,2016-08-18 01:03:45+00:00
826,766069199026450432,4115,820,2016-08-18 00:28:24+00:00
827,766008592277377025,3659,482,2016-08-17 20:27:34+00:00
828,765719909049503744,7053,2093,2016-08-17 01:20:27+00:00
829,765669560888528897,5048,1193,2016-08-16 22:00:23+00:00
830,765395769549590528,26026,3277,2016-08-16 03:52:26+00:00
831,765371061932261376,6885,2097,2016-08-16 02:14:15+00:00
832,765222098633691136,11343,3279,2016-08-15 16:22:20+00:00
833,764857477905154048,6291,1722,2016-08-14 16:13:27+00:00
834,764259802650378240,5855,1453,2016-08-13 00:38:30+00:00
835,763956972077010945,747,52,2016-08-12 04:35:10+00:00
836,763837565564780549,12221,4011,2016-08-11 20:40:41+00:00
837,763183847194451968,5226,1424,2016-08-10 01:23:03+00:00
838,763167063695355904,0,2906,2016-08-10 00:16:21+00:00
839,763103485927849985,7182,2230,2016-08-09 20:03:43+00:00
840,762699858130116608,11796,3481,2016-08-08 17:19:51+00:00
841,762471784394268675,10932,6188,2016-08-08 02:13:34+00:00
842,762464539388485633,10023,4014,2016-08-08 01:44:46+00:00
843,762316489655476224,4666,1079,2016-08-07 15:56:28+00:00
844,762035686371364864,30947,14969,2016-08-06 21:20:40+00:00
845,761976711479193600,5259,1928,2016-08-06 17:26:19+00:00
